scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-07-16,RS,bed_bath_table,0.0
base,last_week,2018-07-16,RS,computers_accessories,0.0
base,last_week,2018-07-16,RS,furniture_decor,0.0
base,last_week,2018-07-16,RS,garden_tools,0.0
base,last_week,2018-07-16,RS,health_beauty,0.0
base,last_week,2018-07-16,RS,housewares,3.0
base,last_week,2018-07-16,RS,sports_leisure,0.0
base,last_week,2018-07-16,RS,telephony,0.0
base,last_week,2018-07-16,RS,watches_gifts,0.0
base,last_week,2018-07-23,SP,auto,0.0
base,last_week,2018-07-23,SP,bed_bath_table,0.0
base,last_week,2018-07-23,SP,computers_accessories,0.0
base,last_week,2018-07-23,SP,furniture_decor,0.0
base,last_week,2018-07-23,SP,garden_tools,0.0
base,last_week,2018-07-23,SP,health_beauty,0.0
base,last_week,2018-07-23,SP,housewares,0.0
base,last_week,2018-07-23,SP,sports_leisure,0.0
base,last_week,2018-07-23,SP,telephony,0.0
base,last_week,2018-07-23,SP,watches_gifts,19.0
base,last_week,2018-07-23,PR,auto,0.0
base,last_week,2018-07-23,PR,bed_bath_table,0.0
base,last_week,2018-07-23,PR,computers_accessories,0.0
base,last_week,2018-07-23,PR,furniture_decor,0.0
base,last_week,2018-07-23,PR,garden_tools,0.0
base,last_week,2018-07-23,PR,health_beauty,0.0
base,last_week,2018-07-23,PR,housewares,0.0
base,last_week,2018-07-23,PR,sports_leisure,0.0
base,last_week,2018-07-23,PR,telephony,0.0
base,last_week,2018-07-23,PR,watches_gifts,0.0
base,last_week,2018-07-23,MG,auto,0.0
base,last_week,2018-07-23,MG,bed_bath_table,0.0
base,last_week,2018-07-23,MG,computers_accessories,0.0
base,last_week,2018-07-23,MG,furniture_decor,0.0
base,last_week,2018-07-23,MG,garden_tools,0.0
base,last_week,2018-07-23,MG,health_beauty,0.0
base,last_week,2018-07-23,MG,housewares,0.0
base,last_week,2018-07-23,MG,sports_leisure,0.0
base,last_week,2018-07-23,MG,telephony,0.0
base,last_week,2018-07-23,MG,watches_gifts,0.0
base,last_week,2018-07-23,RJ,auto,0.0
base,last_week,2018-07-23,RJ,bed_bath_table,0.0
base,last_week,2018-07-23,RJ,computers_accessories,0.0
base,last_week,2018-07-23,RJ,furniture_decor,0.0
base,last_week,2018-07-23,RJ,garden_tools,0.0
base,last_week,2018-07-23,RJ,health_beauty,0.0
base,last_week,2018-07-23,RJ,housewares,0.0
base,last_week,2018-07-23,RJ,sports_leisure,0.0
base,last_week,2018-07-23,RJ,telephony,0.0
base,last_week,2018-07-23,RJ,watches_gifts,0.0
base,last_week,2018-07-23,SC,auto,0.0
base,last_week,2018-07-23,SC,bed_bath_table,0.0
base,last_week,2018-07-23,SC,computers_accessories,0.0
base,last_week,2018-07-23,SC,furniture_decor,0.0
base,last_week,2018-07-23,SC,garden_tools,0.0
base,last_week,2018-07-23,SC,health_beauty,0.0
base,last_week,2018-07-23,SC,housewares,0.0
base,last_week,2018-07-23,SC,sports_leisure,0.0
base,last_week,2018-07-23,SC,telephony,0.0
base,last_week,2018-07-23,SC,watches_gifts,6.0
